genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure
Achimenes,Achimenes antirrhina,Achimenes flava,no,no,NA,52.83,74.05,10.84,12.05,NA,NA,0.6943,fruit set
Achimenes,Achimenes antirrhina,Achimenes patens,no,no,NA,52.83,72.85,15.11,48.1,NA,NA,0.3307,fruit set
Achimenes,Achimenes flava,Achimenes patens,no,no,Achimenes,219.78,69,107,187.41,NA,NA,-0.0097,seed set
Adenocalymma,Adenocalymma nodosum,Adenocalymma peregrinum,no,no,Adenocalymma,0.26208,0.12096,0.20482,0.108528,NA,NA,0.1001,seed set
Anacyclus,Anacyclus clavatus,Anacyclus homogamos,no,no,Anacyclus,0.88,0.88,0.89,0.92,NA,NA,-0.014,seed set
Antirrhinum,Antirrhinum pulverulentum,Antirrhinum majus,no,no,Antirrhinum,75.74,65.13,35.94,30.91,NA,NA,0.3563,seed set
Antirrhinum,Antirrhinum valentinum,Antirrhinum controversum,no,no,NA,77.85,69.6,77.1,21.02,NA,NA,0.2009,seed set
Aquilegia,Aquilegia canadensis,Aquilegia caerulea,no,no,Aquilegia01,72.25,68.4,NA,62.3,NA,NA,0.0605,seed set
Aquilegia,Aquilegia canadensis,Aquilegia flabellata,no,no,NA,72.25,77.5,48.4,49.6,NA,NA,0.2089,seed set
Aquilegia,Aquilegia canadensis,Aquilegia japonica,no,no,NA,72.25,69.8,54.3,NA,NA,NA,0.1335,seed set
Aquilegia,Aquilegia canadensis,Aquilegia longissima,no,no,NA,72.25,65.7,67.7,62.3,NA,NA,0.0297,seed set
Aquilegia,Aquilegia canadensis,Aquilegia pubescens,no,no,NA,72.25,59.2,68.4,NA,NA,NA,-0.0199,seed set
Aquilegia,Aquilegia chrysantha,Aquilegia canadensis,no,no,NA,51.4,72.25,67.4,NA,NA,NA,-0.0431,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia vulgaris,no,no,Aquilegia02,71.4,75.6,68.5,63.1,NA,NA,0.0553,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia alpina,no,no,NA,71.4,72.5,52.3,57,NA,NA,0.1367,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia baikalensis,no,no,NA,71.4,68.8,42.1,57.7,NA,NA,0.1683,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia canadensis,no,no,NA,71.4,72.25,34.05,34.15,NA,NA,0.3561,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia chaplinei,no,no,NA,71.4,62.2,NA,12.3,NA,NA,0.689,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia chrysantha,no,no,NA,71.4,51.4,28.1,1.3,NA,NA,0.6137,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia elegantula,no,no,NA,71.4,62.6,37.3,NA,NA,NA,0.2848,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia flabellata,no,no,NA,71.4,77.5,50.8,60.6,NA,NA,0.1441,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia formosa,no,no,NA,71.4,59.8,30.5,24.9,NA,NA,0.4062,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia japonica,no,no,NA,71.4,69.8,60,52.6,NA,NA,0.1127,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia longissima,no,no,NA,71.4,65.7,26.5,23.4,NA,NA,0.4663,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia pubescens,no,no,NA,71.4,59.2,NA,3.4,NA,NA,0.901,seed set
Aquilegia,Aquilegia elegantula,Aquilegia flabellata,no,no,Aquilegia03,62.6,77.5,44.5,42.2,NA,NA,0.2354,seed set
