family,genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure,remove_flag,is_PI_from_PI_name,sp1_key,sp2_key,pair_key,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,life_history_sp1,life_history_sp2,mating_system_sp1,mating_system_sp2,gd_rows,gd_nonmissing,K2P_Distance,K2P_min,K2P_max,has_both_ovule_numbers,has_nonmissing_K2P,model_ready_PI_K2P_ovules,mean_log10_ovules,abs_log10_ovule_difference,signed_log10_ovule_ratio_sp1_minus_sp2,best_confidence_pair
Gesneriaceae,Achimenes,Achimenes antirrhina,Achimenes flava,no,no,,52.83,74.05,10.84,12.05,,,0.6943,fruit set,False,False,achimenes antirrhina,achimenes flava,achimenes antirrhina || achimenes flava,,304.0,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Gesneriaceae,Achimenes,Achimenes antirrhina,Achimenes patens,no,no,,52.83,72.85,15.11,48.1,,,0.3307,fruit set,False,False,achimenes antirrhina,achimenes patens,achimenes antirrhina || achimenes patens,,946.0,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Gesneriaceae,Achimenes,Achimenes flava,Achimenes patens,no,no,Achimenes,219.78,69.0,107.0,187.41,,,-0.0097,seed set,False,True,achimenes flava,achimenes patens,achimenes flava || achimenes patens,304.0,946.0,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.015688,0.015688,0.015688,True,True,True,2.7293823600052733,0.49301755279303894,-0.49301755279303894,3.0
Bignoniaceae,Adenocalymma,Adenocalymma nodosum,Adenocalymma peregrinum,no,no,Adenocalymma,0.26208,0.12096,0.20482,0.108528,,,0.1001,seed set,False,True,adenocalymma nodosum,adenocalymma peregrinum,adenocalymma nodosum || adenocalymma peregrinum,10.0,14.1,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.071142,0.071142,0.071142,True,True,True,1.0746095563276898,0.1492191126553799,-0.1492191126553799,1.0
Asteraceae,Anacyclus,Anacyclus clavatus,Anacyclus homogamos,no,no,Anacyclus,0.88,0.88,0.89,0.92,,,-0.014,seed set,False,True,anacyclus clavatus,anacyclus homogamos,anacyclus clavatus || anacyclus homogamos,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,1.0,1.0,0.020246,0.020246,0.020246,True,True,True,0.0,0.0,0.0,1.0
Plantaginaceae,Antirrhinum,Antirrhinum pulverulentum,Antirrhinum majus,no,no,Antirrhinum,75.74,65.13,35.94,30.91,,,0.3563,seed set,False,True,antirrhinum pulverulentum,antirrhinum majus,antirrhinum majus || antirrhinum pulverulentum,176.4,262.3,1.0,1.0,woody,annual,outcrossing,outcrossing,1.0,1.0,0.011731,0.011731,0.011731,True,True,True,2.332648435693077,0.17229970979455267,-0.17229970979455267,1.0
Plantaginaceae,Antirrhinum,Antirrhinum valentinum,Antirrhinum controversum,no,no,,77.85,69.6,77.1,21.02,,,0.2009,seed set,False,False,antirrhinum valentinum,antirrhinum controversum,antirrhinum controversum || antirrhinum valentinum,219.8,346.04,1.0,1.0,perennial,perennial,outcrossing,outcrossing,,,,,,True,False,False,2.440576995716431,0.19709861525791883,-0.19709861525791883,1.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia caerulea,no,no,Aquilegia01,72.25,68.4,,62.3,,,0.0605,seed set,False,True,aquilegia canadensis,aquilegia caerulea,aquilegia caerulea || aquilegia canadensis,25.0,37.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,1.4830708663695162,0.17026171539495727,-0.17026171539495727,1.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia flabellata,no,no,,72.25,77.5,48.4,49.6,,,0.2089,seed set,False,False,aquilegia canadensis,aquilegia flabellata,aquilegia canadensis || aquilegia flabellata,25.0,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia japonica,no,no,,72.25,69.8,54.3,,,,0.1335,seed set,False,False,aquilegia canadensis,aquilegia japonica,aquilegia canadensis || aquilegia japonica,25.0,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia longissima,no,no,,72.25,65.7,67.7,62.3,,,0.0297,seed set,False,False,aquilegia canadensis,aquilegia longissima,aquilegia canadensis || aquilegia longissima,25.0,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia pubescens,no,no,,72.25,59.2,68.4,,,,-0.0199,seed set,False,False,aquilegia canadensis,aquilegia pubescens,aquilegia canadensis || aquilegia pubescens,25.0,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia chrysantha,Aquilegia canadensis,no,no,,51.4,72.25,67.4,,,,-0.0431,seed set,False,False,aquilegia chrysantha,aquilegia canadensis,aquilegia canadensis || aquilegia chrysantha,,25.0,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia vulgaris,no,no,Aquilegia02,71.4,75.6,68.5,63.1,,,0.0553,seed set,False,True,aquilegia ecalcarata,aquilegia vulgaris,aquilegia ecalcarata || aquilegia vulgaris,17.89,24.5,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,1.3208882124659527,0.1365557437971594,-0.1365557437971594,1.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia alpina,no,no,,71.4,72.5,52.3,57.0,,,0.1367,seed set,False,False,aquilegia ecalcarata,aquilegia alpina,aquilegia alpina || aquilegia ecalcarata,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia baikalensis,no,no,,71.4,68.8,42.1,57.7,,,0.1683,seed set,False,False,aquilegia ecalcarata,aquilegia baikalensis,aquilegia baikalensis || aquilegia ecalcarata,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia canadensis,no,no,,71.4,72.25,34.05,34.15,,,0.3561,seed set,False,False,aquilegia ecalcarata,aquilegia canadensis,aquilegia canadensis || aquilegia ecalcarata,17.89,25.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,True,False,False,1.3252751746197053,0.14532966810466474,-0.14532966810466474,1.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia chaplinei,no,no,,71.4,62.2,,12.3,,,0.689,seed set,False,False,aquilegia ecalcarata,aquilegia chaplinei,aquilegia chaplinei || aquilegia ecalcarata,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia chrysantha,no,no,,71.4,51.4,28.1,1.3,,,0.6137,seed set,False,False,aquilegia ecalcarata,aquilegia chrysantha,aquilegia chrysantha || aquilegia ecalcarata,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia elegantula,no,no,,71.4,62.6,37.3,,,,0.2848,seed set,False,False,aquilegia ecalcarata,aquilegia elegantula,aquilegia ecalcarata || aquilegia elegantula,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia flabellata,no,no,,71.4,77.5,50.8,60.6,,,0.1441,seed set,False,False,aquilegia ecalcarata,aquilegia flabellata,aquilegia ecalcarata || aquilegia flabellata,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia formosa,no,no,,71.4,59.8,30.5,24.9,,,0.4062,seed set,False,False,aquilegia ecalcarata,aquilegia formosa,aquilegia ecalcarata || aquilegia formosa,17.89,33.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,True,False,False,1.3855621402226301,0.26590359931051455,-0.26590359931051455,1.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia japonica,no,no,,71.4,69.8,60.0,52.6,,,0.1127,seed set,False,False,aquilegia ecalcarata,aquilegia japonica,aquilegia ecalcarata || aquilegia japonica,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia longissima,no,no,,71.4,65.7,26.5,23.4,,,0.4663,seed set,False,False,aquilegia ecalcarata,aquilegia longissima,aquilegia ecalcarata || aquilegia longissima,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia pubescens,no,no,,71.4,59.2,,3.4,,,0.901,seed set,False,False,aquilegia ecalcarata,aquilegia pubescens,aquilegia ecalcarata || aquilegia pubescens,17.89,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia elegantula,Aquilegia flabellata,no,no,Aquilegia03,62.6,77.5,44.5,42.2,,,0.2354,seed set,False,True,aquilegia elegantula,aquilegia flabellata,aquilegia elegantula || aquilegia flabellata,,,4.0,4.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.008243,0.008243,0.008243,False,True,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia flabellata,Aquilegia chrysantha,no,no,,77.5,51.4,38.4,38.5,,,0.2527,seed set,False,False,aquilegia flabellata,aquilegia chrysantha,aquilegia chrysantha || aquilegia flabellata,,,4.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia flabellata,Aquilegia longissima,no,no,,77.5,65.7,35.5,,,,0.3371,seed set,False,False,aquilegia flabellata,aquilegia longissima,aquilegia flabellata || aquilegia longissima,,,4.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia japonica,Aquilegia formosa,no,no,,69.8,59.8,44.3,41.4,,,0.2039,seed set,False,False,aquilegia japonica,aquilegia formosa,aquilegia formosa || aquilegia japonica,,33.0,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia longissima,Aquilegia vulgaris,no,no,,65.7,75.6,35.0,,,,0.3374,seed set,False,False,aquilegia longissima,aquilegia vulgaris,aquilegia longissima || aquilegia vulgaris,,24.5,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia vulgaris,Aquilegia canadensis,no,no,,75.6,72.25,58.0,,,,0.1207,seed set,False,False,aquilegia vulgaris,aquilegia canadensis,aquilegia canadensis || aquilegia vulgaris,24.5,25.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,True,False,False,1.393553046518285,0.008773924307505343,-0.008773924307505343,1.0
Ranunculaceae,Aquilegia,Aquilegia vulgaris,Aquilegia chrysantha,no,no,,75.6,51.4,25.7,,,,0.4238,seed set,False,False,aquilegia vulgaris,aquilegia chrysantha,aquilegia chrysantha || aquilegia vulgaris,24.5,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia vulgaris,Aquilegia elegantula,no,no,,75.6,62.6,47.8,,,,0.1822,seed set,False,False,aquilegia vulgaris,aquilegia elegantula,aquilegia elegantula || aquilegia vulgaris,24.5,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,False,False,False,,,,4.0
Ranunculaceae,Aquilegia,Aquilegia vulgaris,Aquilegia formosa,no,no,,75.6,59.8,14.8,,,,0.6412,seed set,False,False,aquilegia vulgaris,aquilegia formosa,aquilegia formosa || aquilegia vulgaris,24.5,33.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,,,,,True,False,False,1.45384001212121,0.12934785551335515,-0.12934785551335515,1.0
Caryophyllaceae,Arenaria,Arenaria uniflora,Arenaria glabra,no,no,Arenaria,16.2,,2.8,,,,0.7053,seed set,False,True,arenaria uniflora,arenaria glabra,arenaria glabra || arenaria uniflora,23.3,20.0,1.0,3.0,annual,annual,mixed-mating,mixed-mating,1.0,0.0,,,,True,False,False,1.334192958345,0.06632592536203763,0.06632592536203763,3.0
Araceae,Arisaema,Arisaema bockii,Arisaema lobatum,no,no,Arisaema,49.82,37.61,20.93,29.83,,,0.2654,seed set,False,True,arisaema bockii,arisaema lobatum,arisaema bockii || arisaema lobatum,4.0,4.5,3.0,3.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.059404,0.059404,0.059404,True,True,True,0.627636252551653,0.05115252244738133,-0.05115252244738133,3.0
Araceae,Arisaema,Arisaema bockii,Arisaema erubescens,no,no,,49.82,42.76,,30.13,,,0.2115,seed set,False,False,arisaema bockii,arisaema erubescens,arisaema bockii || arisaema erubescens,4.0,4.5,3.0,3.0,perennial,perennial,outcrossing,outcrossing,,,,,,True,False,False,0.627636252551653,0.05115252244738133,-0.05115252244738133,3.0
Araceae,Arisaema,Arisaema lobatum,Arisaema erubescens,no,no,,37.61,42.76,26.54,48.72,,,0.0328,seed set,False,False,arisaema lobatum,arisaema erubescens,arisaema erubescens || arisaema lobatum,4.5,4.5,3.0,3.0,perennial,perennial,outcrossing,outcrossing,,,,,,True,False,False,0.6532125137753437,0.0,0.0,3.0
Boraginaceae,Arnebia,Arnebia guttata,Arnebia szechenyi,no,no,Arnebia,,,0.0,0.0,,,1.0,seed set,False,True,arnebia guttata,arnebia szechenyi,arnebia guttata || arnebia szechenyi,4.0,4.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.105286,0.105286,0.105286,True,True,True,0.6020599913279624,0.0,0.0,1.0
Apocynaceae,Asclepias,Asclepias perennis,Asclepias incarnata,no,no,Asclepias,486.54,,0.0,0.0,,,1.0,seed set,False,True,asclepias perennis,asclepias incarnata,asclepias incarnata || asclepias perennis,43.8,58.2,1.0,1.0,woody,perennial,outcrossing,mixed-mating,1.0,0.0,,,,True,False,False,1.703198547576994,0.12344887414578909,-0.12344887414578909,1.0
Apocynaceae,Asclepias,Asclepias perennis,Asclepias curassavica,no,no,,486.54,,0.0,0.0,,,1.0,seed set,False,False,asclepias perennis,asclepias curassavica,asclepias curassavica || asclepias perennis,43.8,116.5,1.0,1.0,woody,woody,outcrossing,mixed-mating,,,,,,True,False,False,1.8539000179330687,0.4248518148579381,-0.4248518148579381,1.0
Apocynaceae,Asclepias,Asclepias perennis,Asclepias texana,no,no,,486.54,,1091.4,544.5,,,-0.2541,seed set,False,False,asclepias perennis,asclepias texana,asclepias perennis || asclepias texana,43.8,48.8,1.0,1.0,woody,woody,outcrossing,outcrossing,,,,,,True,False,False,1.664946966253405,0.04694571149861115,-0.04694571149861115,1.0
Apocynaceae,Asclepias,Asclepias texana,Asclepias incarnata,no,no,,776.25,,0.0,0.0,,,1.0,seed set,False,False,asclepias texana,asclepias incarnata,asclepias incarnata || asclepias texana,48.8,58.2,1.0,1.0,woody,perennial,outcrossing,mixed-mating,,,,,,True,False,False,1.7266714033262995,0.07650316264717794,-0.07650316264717794,1.0
Asteraceae,Bidens,Bidens carpodonta,Bidens longistyla,no,no,Bidens,100.0,100.0,0.0,0.0,,,1.0,seed set,False,True,bidens carpodonta,bidens longistyla,bidens carpodonta || bidens longistyla,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,1.0,0.0,,,,True,False,False,0.0,0.0,0.0,1.0
Asteraceae,Bidens,Bidens ferulifolia,Bidens carpodonta,no,no,,100.0,100.0,0.0,0.0,,,1.0,seed set,False,False,bidens ferulifolia,bidens carpodonta,bidens carpodonta || bidens ferulifolia,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,,,,,,True,False,False,0.0,0.0,0.0,1.0
Asteraceae,Bidens,Bidens ferulifolia,Bidens longistyla,no,no,,100.0,100.0,0.0,0.0,,,1.0,seed set,False,False,bidens ferulifolia,bidens longistyla,bidens ferulifolia || bidens longistyla,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,,,,,,True,False,False,0.0,0.0,0.0,1.0
