family,genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure,remove_flag,is_PI_from_PI_name,sp1_key,sp2_key,pair_key,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,life_history_sp1,life_history_sp2,mating_system_sp1,mating_system_sp2,gd_rows,gd_nonmissing,K2P_Distance,K2P_min,K2P_max,has_both_ovule_numbers,has_nonmissing_K2P,model_ready_PI_K2P_ovules,mean_log10_ovules,abs_log10_ovule_difference,signed_log10_ovule_ratio_sp1_minus_sp2,best_confidence_pair
Gesneriaceae,Achimenes,Achimenes flava,Achimenes patens,no,no,Achimenes,219.78,69.0,107.0,187.41,,,-0.0097,seed set,False,True,achimenes flava,achimenes patens,achimenes flava || achimenes patens,304.0,946.0,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.015688,0.015688,0.015688,True,True,True,2.7293823600052733,0.49301755279303894,-0.49301755279303894,3.0
Bignoniaceae,Adenocalymma,Adenocalymma nodosum,Adenocalymma peregrinum,no,no,Adenocalymma,0.26208,0.12096,0.20482,0.108528,,,0.1001,seed set,False,True,adenocalymma nodosum,adenocalymma peregrinum,adenocalymma nodosum || adenocalymma peregrinum,10.0,14.1,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.071142,0.071142,0.071142,True,True,True,1.0746095563276898,0.1492191126553799,-0.1492191126553799,1.0
Asteraceae,Anacyclus,Anacyclus clavatus,Anacyclus homogamos,no,no,Anacyclus,0.88,0.88,0.89,0.92,,,-0.014,seed set,False,True,anacyclus clavatus,anacyclus homogamos,anacyclus clavatus || anacyclus homogamos,1.0,1.0,1.0,1.0,annual,annual,outcrossing,outcrossing,1.0,1.0,0.020246,0.020246,0.020246,True,True,True,0.0,0.0,0.0,1.0
Plantaginaceae,Antirrhinum,Antirrhinum pulverulentum,Antirrhinum majus,no,no,Antirrhinum,75.74,65.13,35.94,30.91,,,0.3563,seed set,False,True,antirrhinum pulverulentum,antirrhinum majus,antirrhinum majus || antirrhinum pulverulentum,176.4,262.3,1.0,1.0,woody,annual,outcrossing,outcrossing,1.0,1.0,0.011731,0.011731,0.011731,True,True,True,2.332648435693077,0.17229970979455267,-0.17229970979455267,1.0
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia caerulea,no,no,Aquilegia01,72.25,68.4,,62.3,,,0.0605,seed set,False,True,aquilegia canadensis,aquilegia caerulea,aquilegia caerulea || aquilegia canadensis,25.0,37.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,1.4830708663695162,0.17026171539495727,-0.17026171539495727,1.0
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia vulgaris,no,no,Aquilegia02,71.4,75.6,68.5,63.1,,,0.0553,seed set,False,True,aquilegia ecalcarata,aquilegia vulgaris,aquilegia ecalcarata || aquilegia vulgaris,17.89,24.5,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,1.3208882124659527,0.1365557437971594,-0.1365557437971594,1.0
Araceae,Arisaema,Arisaema bockii,Arisaema lobatum,no,no,Arisaema,49.82,37.61,20.93,29.83,,,0.2654,seed set,False,True,arisaema bockii,arisaema lobatum,arisaema bockii || arisaema lobatum,4.0,4.5,3.0,3.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.059404,0.059404,0.059404,True,True,True,0.627636252551653,0.05115252244738133,-0.05115252244738133,3.0
Boraginaceae,Arnebia,Arnebia guttata,Arnebia szechenyi,no,no,Arnebia,,,0.0,0.0,,,1.0,seed set,False,True,arnebia guttata,arnebia szechenyi,arnebia guttata || arnebia szechenyi,4.0,4.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.105286,0.105286,0.105286,True,True,True,0.6020599913279624,0.0,0.0,1.0
Brassicaceae,Boechera,Boechera stricta,Boechera retrofracta,no,no,Boechera,4.6,1.4,8.6,0.15,,,-0.1864,seed set,False,True,boechera stricta,boechera retrofracta,boechera retrofracta || boechera stricta,163.0,88.0,1.0,1.0,perennial,perennial,selfing,selfing,1.0,1.0,0.007722,0.007722,0.007722,True,True,True,2.078335138277063,0.267704932253789,0.267704932253789,1.0
Scrophulariaceae,Buddleja,Buddleja crispa,Buddleja officinalis,no,no,Buddleja,22.27,59.15,5.44,0.0,,,0.8747,seed number per fruit,False,True,buddleja crispa,buddleja officinalis,buddleja crispa || buddleja officinalis,173.60714,139.458,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.291439,0.291439,0.291439,True,True,True,2.1920055075895477,0.09512414999073115,0.09512414999073115,1.0
Brassicaceae,Cakile,Cakile maritima,Cakile edentula,no,no,Cakile,0.75,0.67,0.85,0.68,,,-0.0373,seed set,False,True,cakile maritima,cakile edentula,cakile edentula || cakile maritima,3.1,2.0,1.0,1.0,annual,annual,outcrossing,selfing,1.0,1.0,0.00444,0.00444,0.00444,True,True,True,0.3961958447491269,0.1903316981702915,0.1903316981702915,1.0
Calceolariaceae,Calceolaria,Calceolaria arachnoidea,Calceolaria filicaulis,no,no,Calceolaria,303.35,453.62,25.97,117.75,,,0.6809,seed number per fruit,False,True,calceolaria arachnoidea,calceolaria filicaulis,calceolaria arachnoidea || calceolaria filicaulis,405.0,558.0,3.0,3.0,perennial,perennial,mixed-mating,outcrossing,1.0,1.0,0.089405,0.089405,0.089405,True,True,True,2.6770446110761235,0.13917917572290994,-0.13917917572290994,3.0
Orchidaceae,Cattleya,Cattleya sincorana,Cattleya pfisteri,no,no,Cattleya,0.3784,0.441,0.06916,0.253708,,,0.4347,seed set,False,True,cattleya sincorana,cattleya pfisteri,cattleya pfisteri || cattleya sincorana,3500000.0,3500000.0,4.0,4.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.043864,0.043864,0.043864,True,True,True,6.544068044350276,0.0,0.0,4.0
Gentianaceae,Centaurium,Centaurium erythraea,Centaurium pulchellum,no,no,Centaurium,0.867,0.89,0.349,0.404,,,0.4,seed set,False,True,centaurium erythraea,centaurium pulchellum,centaurium erythraea || centaurium pulchellum,306.05,271.5,1.0,1.0,annual,annual,mixed-mating,selfing,1.0,1.0,0.051814,0.051814,0.051814,True,True,True,2.459781108880036,0.05202254991034039,0.05202254991034039,1.0
Fabaceae,Chamaecrista,Chamaecrista chapadae,Chamaecrista glaucofilix,no,no,Chamaecrista,0.3572,2.2752,0.0805,0.0,,,0.9407,seed set,False,True,chamaecrista chapadae,chamaecrista glaucofilix,chamaecrista chapadae || chamaecrista glaucofilix,7.5,7.5,1.0,1.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.134371,0.134371,0.134371,True,True,True,0.8750612633917001,0.0,0.0,1.0
