family,genus,species1,species2,pair_key,PI_name,is_PI_from_PI_name,measure,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,has_directional_RI_inputs,directional_RI_sp1_mother,directional_RI_sp2_mother,directional_RI_asymmetry_sp1_minus_sp2,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,has_both_ovules,both_confidence_le_2,signed_log10_ovule_ratio_sp1_minus_sp2,abs_log10_ovule_difference,nonzero_ovule_difference,has_K2P,K2P_Distance,asymmetry_model_ready,asymmetry_model_ready_confidence_le_2,strict_PI_K2P_asymmetry_ready
Gesneriaceae,Achimenes,Achimenes antirrhina,Achimenes flava,achimenes antirrhina || achimenes flava,,False,fruit set,52.83,74.05,10.84,12.05,True,0.7948135529055461,0.837272113436867,-0.04245856053132091,,304.0,4.0,3.0,False,False,,,False,False,,False,False,False
Gesneriaceae,Achimenes,Achimenes antirrhina,Achimenes patens,achimenes antirrhina || achimenes patens,,False,fruit set,52.83,72.85,15.11,48.1,True,0.7139882642438009,0.3397391901166781,0.3742490741271228,,946.0,4.0,3.0,False,False,,,False,False,,False,False,False
Gesneriaceae,Achimenes,Achimenes flava,Achimenes patens,achimenes flava || achimenes patens,Achimenes,True,seed set,219.78,69.0,107.0,187.41,True,0.5131495131495132,-1.716086956521739,2.2292364696712523,304.0,946.0,3.0,3.0,True,False,-0.49301755279303894,0.49301755279303894,True,True,0.015688,True,False,True
Bignoniaceae,Adenocalymma,Adenocalymma nodosum,Adenocalymma peregrinum,adenocalymma nodosum || adenocalymma peregrinum,Adenocalymma,True,seed set,0.26208,0.12096,0.20482,0.108528,True,0.21848290598290587,0.10277777777777775,0.11570512820512813,10.0,14.1,1.0,1.0,True,True,-0.1492191126553799,0.1492191126553799,True,True,0.071142,True,True,True
Asteraceae,Anacyclus,Anacyclus clavatus,Anacyclus homogamos,anacyclus clavatus || anacyclus homogamos,Anacyclus,True,seed set,0.88,0.88,0.89,0.92,True,-0.011363636363636465,-0.045454545454545414,0.03409090909090895,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,True,0.020246,True,True,True
Plantaginaceae,Antirrhinum,Antirrhinum pulverulentum,Antirrhinum majus,antirrhinum majus || antirrhinum pulverulentum,Antirrhinum,True,seed set,75.74,65.13,35.94,30.91,True,0.5254819118035384,0.5254107170274834,7.119477605499469e-05,176.4,262.3,1.0,1.0,True,True,-0.17229970979455267,0.17229970979455267,True,True,0.011731,True,True,True
Plantaginaceae,Antirrhinum,Antirrhinum valentinum,Antirrhinum controversum,antirrhinum controversum || antirrhinum valentinum,,False,seed set,77.85,69.6,77.1,21.02,True,0.009633911368015391,0.6979885057471265,-0.6883545943791111,219.8,346.04,1.0,1.0,True,True,-0.19709861525791883,0.19709861525791883,True,False,,True,True,False
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia flabellata,aquilegia canadensis || aquilegia flabellata,,False,seed set,72.25,77.5,48.4,49.6,True,0.33010380622837376,0.36,-0.029896193771626223,25.0,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia canadensis,Aquilegia longissima,aquilegia canadensis || aquilegia longissima,,False,seed set,72.25,65.7,67.7,62.3,True,0.06297577854671277,0.05175038051750391,0.011225398029208855,25.0,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia vulgaris,aquilegia ecalcarata || aquilegia vulgaris,Aquilegia02,True,seed set,71.4,75.6,68.5,63.1,True,0.04061624649859952,0.16534391534391524,-0.12472766884531572,17.89,24.5,1.0,1.0,True,True,-0.13655574379715962,0.13655574379715962,True,True,0.0,True,True,True
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia alpina,aquilegia alpina || aquilegia ecalcarata,,False,seed set,71.4,72.5,52.3,57.0,True,0.2675070028011205,0.21379310344827585,0.05371389935284465,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia baikalensis,aquilegia baikalensis || aquilegia ecalcarata,,False,seed set,71.4,68.8,42.1,57.7,True,0.4103641456582633,0.16133720930232553,0.24902693635593776,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia canadensis,aquilegia canadensis || aquilegia ecalcarata,,False,seed set,71.4,72.25,34.05,34.15,True,0.5231092436974791,0.5273356401384084,-0.004226396440929259,17.89,25.0,1.0,1.0,True,True,-0.14532966810466474,0.14532966810466474,True,False,,True,True,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia chrysantha,aquilegia chrysantha || aquilegia ecalcarata,,False,seed set,71.4,51.4,28.1,1.3,True,0.6064425770308124,0.9747081712062257,-0.36826559417541327,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia flabellata,aquilegia ecalcarata || aquilegia flabellata,,False,seed set,71.4,77.5,50.8,60.6,True,0.28851540616246507,0.21806451612903222,0.07045089003343286,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia formosa,aquilegia ecalcarata || aquilegia formosa,,False,seed set,71.4,59.8,30.5,24.9,True,0.572829131652661,0.5836120401337792,-0.01078290848111818,17.89,33.0,1.0,1.0,True,True,-0.26590359931051455,0.26590359931051455,True,False,,True,True,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia japonica,aquilegia ecalcarata || aquilegia japonica,,False,seed set,71.4,69.8,60.0,52.6,True,0.1596638655462186,0.24641833810888247,-0.08675447256266389,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,Aquilegia longissima,aquilegia ecalcarata || aquilegia longissima,,False,seed set,71.4,65.7,26.5,23.4,True,0.6288515406162465,0.6438356164383562,-0.0149840758221097,17.89,,1.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia elegantula,Aquilegia flabellata,aquilegia elegantula || aquilegia flabellata,Aquilegia03,True,seed set,62.6,77.5,44.5,42.2,True,0.2891373801916933,0.4554838709677419,-0.16634649077604857,,,4.0,4.0,False,False,,,False,True,0.008243,False,False,False
Ranunculaceae,Aquilegia,Aquilegia flabellata,Aquilegia chrysantha,aquilegia chrysantha || aquilegia flabellata,,False,seed set,77.5,51.4,38.4,38.5,True,0.5045161290322581,0.2509727626459144,0.25354336638634367,,,4.0,4.0,False,False,,,False,False,,False,False,False
Ranunculaceae,Aquilegia,Aquilegia japonica,Aquilegia formosa,aquilegia formosa || aquilegia japonica,,False,seed set,69.8,59.8,44.3,41.4,True,0.36532951289398286,0.3076923076923077,0.057637205201675146,,33.0,4.0,1.0,False,False,,,False,False,,False,False,False
Araceae,Arisaema,Arisaema bockii,Arisaema lobatum,arisaema bockii || arisaema lobatum,Arisaema,True,seed set,49.82,37.61,20.93,29.83,True,0.5798875953432356,0.20685987769210323,0.3730277176511324,4.0,4.5,3.0,3.0,True,False,-0.05115252244738133,0.05115252244738133,True,True,0.059404,True,False,True
Araceae,Arisaema,Arisaema lobatum,Arisaema erubescens,arisaema erubescens || arisaema lobatum,,False,seed set,37.61,42.76,26.54,48.72,True,0.2943366126030311,-0.13938260056127216,0.4337192131643033,4.5,4.5,3.0,3.0,True,False,0.0,0.0,False,False,,True,False,False
Boraginaceae,Arnebia,Arnebia guttata,Arnebia szechenyi,arnebia guttata || arnebia szechenyi,Arnebia,True,seed set,,,0.0,0.0,False,,,,4.0,4.0,1.0,1.0,True,True,0.0,0.0,False,True,0.105286,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias incarnata,asclepias incarnata || asclepias perennis,Asclepias,True,seed set,486.54,,0.0,0.0,False,,,,43.8,58.2,1.0,1.0,True,True,-0.12344887414578909,0.12344887414578909,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias curassavica,asclepias curassavica || asclepias perennis,,False,seed set,486.54,,0.0,0.0,False,,,,43.8,116.5,1.0,1.0,True,True,-0.4248518148579381,0.4248518148579381,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias perennis,Asclepias texana,asclepias perennis || asclepias texana,,False,seed set,486.54,,1091.4,544.5,False,,,,43.8,48.8,1.0,1.0,True,True,-0.04694571149861093,0.04694571149861093,True,False,,False,False,False
Apocynaceae,Asclepias,Asclepias texana,Asclepias incarnata,asclepias incarnata || asclepias texana,,False,seed set,776.25,,0.0,0.0,False,,,,48.8,58.2,1.0,1.0,True,True,-0.07650316264717816,0.07650316264717816,True,False,,False,False,False
Asteraceae,Bidens,Bidens carpodonta,Bidens longistyla,bidens carpodonta || bidens longistyla,Bidens,True,seed set,100.0,100.0,0.0,0.0,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
Asteraceae,Bidens,Bidens ferulifolia,Bidens carpodonta,bidens carpodonta || bidens ferulifolia,,False,seed set,100.0,100.0,0.0,0.0,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,0.0,0.0,False,False,,True,True,False
