replicate,species_i,species_j,tip_i,tip_j,state_i,state_j,divergence_time,ovules_i,ovules_j,logO_i,logO_j,K_i,K_j,logK_i,logK_j,delta_logK_i_minus_j,delta_logO_j_minus_i,filter_i,filter_j,mismatch_D,Rpre_i_from_j,Rpre_j_from_i,asym_i_minus_j,Rpost,BDM_count,N_seed_i_from_j,N_seed_j_from_i,seeds_i_from_j,seeds_j_from_i,observed_Rpre_i_from_j,observed_Rpre_j_from_i,observed_asym_i_minus_j,N_post,post_success,observed_Rpost
0,sp_000,sp_001,0,1,many,few,0.268464193545815,131.55271398933323,19.34155536040436,4.87940763813121,2.9622559087358598,0.4239715834455515,1.1789927240264433,-0.8580888461717177,0.16466045022698286,-1.0227492963987006,-1.91715172939535,0.5696963849597553,0.9248056688427875,0.3483264593470945,0.17999129643447676,0.27539911866194056,-0.0954078222274638,0.3934693402873666,2,1316,193,936,147,0.2887537993920972,0.23834196891191706,0.050411830480180164,50,23,0.54
0,sp_000,sp_002,0,2,many,many,1.0,131.55271398933323,283.9127965083917,4.87940763813121,5.6486671364623895,0.4239715834455515,0.4616828811857186,-0.8580888461717177,-0.7728770279436429,-0.08521181822807478,0.7692594983311798,0.5696963849597553,0.5903583750116348,0.36676305414652405,0.18855898908281288,0.19468489281652723,-0.006125903733714355,0.3934693402873666,2,1316,2839,987,2373,0.25,0.16414230362803806,0.08585769637196194,50,35,0.30000000000000004
0,sp_000,sp_003,0,3,many,few,0.268464193545815,131.55271398933323,26.84014941487776,4.87940763813121,3.289898878961226,0.4239715834455515,0.9608180507946397,-0.8580888461717177,-0.039970221137804414,-0.8181186250339132,-1.5895087591699837,0.5696963849597553,0.8302536764672054,0.16147826087998085,0.08788899606451317,0.1254693353312052,-0.03758033926669202,0.22119921692859512,1,1316,268,1279,233,0.028115501519756836,0.13059701492537312,-0.10248151340561629,50,41,0.18000000000000005
0,sp_000,sp_004,0,4,many,few,0.268464193545815,131.55271398933323,23.54238617566882,4.87940763813121,3.1588024635457006,0.4239715834455515,2.395884168310036,-0.8580888461717177,0.8737523353074913,-1.731841181479209,-1.720605174585509,0.5696963849597553,1.184265311006929,0.537895123328993,0.2639350429218482,0.47112889545488024,-0.20719385253303202,0.0,0,1316,235,1153,114,0.12386018237082064,0.5148936170212766,-0.3910334346504559,50,50,0.0
0,sp_000,sp_005,0,5,many,many,0.007298055227166911,131.55271398933323,189.6096363058774,4.87940763813121,5.244967412927493,0.4239715834455515,0.867876210908925,-0.8580888461717177,-0.14170618865237788,-0.7163826575193397,0.3655597747962833,0.5696963849597553,0.77819913080603,0.049796125368404935,0.02797006007818481,0.03801007512982568,-0.010040015051640871,0.0,0,1316,1896,1260,1605,0.04255319148936165,0.1534810126582279,-0.11092782116886624,50,50,0.0
0,sp_000,sp_006,0,6,many,many,0.34350092324684955,131.55271398933323,185.26752684032235,4.87940763813121,5.221800871524382,0.4239715834455515,0.9034866734908518,-0.8580888461717177,-0.10149391893040877,-0.7565949272413088,0.34239323339317274,0.5696963849597553,0.8650586613638508,0.18734502804722175,0.10123149928511987,0.14961359542431996,-0.04838209613920008,0.5276334472589853,3,1316,1853,1206,1707,0.0835866261398176,0.07879114948731791,0.004795476652499686,50,19,0.62
0,sp_000,sp_007,0,7,many,many,1.0,131.55271398933323,278.05648512037595,4.87940763813121,5.627824276937831,0.4239715834455515,1.3205475651738698,-0.8580888461717177,0.27804647268479454,-1.1361353188565122,0.7484166388066216,0.5696963849597553,0.9371780135499764,0.5814364765391031,0.2819688013851178,0.42010572821733927,-0.13813692683222145,0.5276334472589853,3,1316,2781,921,1720,0.3001519756838906,0.38151743976986696,-0.08136546408597634,50,21,0.5800000000000001
0,sp_000,sp_008,0,8,many,many,1.0,131.55271398933323,169.23650789459708,4.87940763813121,5.131297191596185,0.4239715834455515,1.1237306004801622,-0.8580888461717177,0.11665404345571642,-0.974742889627434,0.25188955346497544,0.5696963849597553,1.0202802252421532,0.38358770244899565,0.19629944836966406,0.32386799440556246,-0.1275685460358984,0.7134952031398099,5,1316,1692,1128,1368,0.1428571428571429,0.19148936170212771,-0.04863221884498481,50,12,0.76
0,sp_000,sp_009,0,9,many,few,0.268464193545815,131.55271398933323,23.35385237252843,4.87940763813121,3.1507619543407643,0.4239715834455515,0.9889856468676748,-0.8580888461717177,-0.011075460237562573,-0.8470133859341551,-1.7286456837904454,0.5696963849597553,1.0304637341412557,0.20394574705840876,0.10969141784463998,0.18954438036242782,-0.07985296251778784,0.22119921692859512,1,1316,234,1153,202,0.12386018237082064,0.1367521367521367,-0.012891954381316073,50,37,0.26
0,sp_000,sp_010,0,10,many,few,0.268464193545815,131.55271398933323,20.2608201007111,4.87940763813121,3.008688976812304,0.4239715834455515,1.5699412749264263,-0.8580888461717177,0.4510382141551898,-1.3091270603269074,-1.8707186613189055,0.5696963849597553,1.162527057284359,0.29959668306728054,0.15690796155455888,0.29410533358917534,-0.13719737203461646,0.0,0,1316,203,1274,169,0.03191489361702127,0.16748768472906406,-0.1355727911120428,50,50,0.0
0,sp_000,sp_011,0,11,many,few,0.268464193545815,131.55271398933323,21.630311829225132,4.87940763813121,3.074095656376313,0.4239715834455515,1.1428011745671578,-0.8580888461717177,0.13348241917160572,-0.9915712653433234,-1.8053119817548966,0.5696963849597553,0.6964291138663647,0.19679058753541703,0.10605487427476545,0.12807397683731803,-0.022019102562552573,0.0,0,1316,216,1202,166,0.08662613981762923,0.2314814814814815,-0.14485534166385228,50,50,0.0
