data_structure,asym_model_beta_intercept,asym_model_beta_delta_logK,asym_model_beta_divergence_time,asym_model_r2,asym_model_n,ovule_proxy_beta_intercept,ovule_proxy_beta_delta_logO_proxy,ovule_proxy_beta_divergence_time,ovule_proxy_r2,ovule_proxy_n,post_model_beta_intercept,post_model_beta_divergence_time,post_model_beta_abs_delta_logK,post_model_r2,post_model_n,replicate,alpha,psi,architecture,n_tips,mean_K,median_K,prop_K_gt_1,mean_omega,mean_filter_F,mean_sweeps,n_pairs_used,beta_intercept,beta_maternal_logK,beta_divergence_time,r2,n
dense_reciprocal,0.0018567357958640734,0.05469351295361338,0.002346924051393911,0.18915702329593387,3160.0,0.0005878233706283242,0.02752788764133599,0.002328232224367103,0.16176391748372543,3160.0,-0.0362542176990619,0.5223691579753066,-0.0013708139036180482,0.583526055656719,3160.0,0,0.6,0.005,independent,80,0.2860194169864964,0.23908870893288015,0.0,0.00366512569090776,0.4300286497033274,0.0,3160,,,,,
sparse_reciprocal,0.0007644248816049195,0.0571682327822238,0.0032467931594680065,0.21506533647989046,826.0,-0.00024876842252774664,0.029227351884404413,0.003373110908410479,0.18323992085990448,826.0,-0.025423509789412903,0.5275375827124489,-0.014943529068650048,0.6010193721429636,826.0,0,0.6,0.005,independent,80,0.2860194169864964,0.23908870893288015,0.0,0.00366512569090776,0.4300286497033274,0.0,826,,,,,
pi_pairs,-0.009123877633305206,0.08124998857302669,0.03454457373827201,0.3342895148173055,40.0,-0.009481446680085237,0.035336633112109335,0.025037973638618875,0.24138001021783562,40.0,0.1354662912211768,0.40501805615940056,-0.06769119169473943,0.2988850606293144,40.0,0,0.6,0.005,independent,80,0.2860194169864964,0.23908870893288015,0.0,0.00366512569090776,0.4300286497033274,0.0,40,,,,,
one_direction,,,,,,,,,,,,,,,,0,0.6,0.005,independent,80,0.2860194169864964,0.23908870893288015,0.0,0.00366512569090776,0.4300286497033274,0.0,3160,0.08402384940077262,0.04751705494920886,0.11288424798744877,0.40118590179292213,3160.0
summary_only,0.0018567357958640734,0.05469351295361338,0.002346924051393911,0.18915702329593387,3160.0,0.0005878233706283242,0.02752788764133599,0.002328232224367103,0.16176391748372543,3160.0,-0.0362542176990619,0.5223691579753066,-0.0013708139036180482,0.583526055656719,3160.0,0,0.6,0.005,independent,80,0.2860194169864964,0.23908870893288015,0.0,0.00366512569090776,0.4300286497033274,0.0,3160,,,,,
dense_reciprocal,-0.0018113605693407806,0.04237481623459809,0.004463462081679929,0.13285276105591048,3160.0,-0.002819326361771709,0.019769453575395585,0.005704232372540429,0.08953344907960858,3160.0,-0.05366003919878946,0.5437904860104157,0.0014021955928314883,0.4974556958380213,3160.0,1,0.6,0.005,independent,80,0.3637757626505705,0.3309168566167304,0.0,0.00609170567072152,0.4941173374090849,0.0625,3160,,,,,
sparse_reciprocal,8.106941174460469e-05,0.046212209553275777,0.007158059157176825,0.14450554912287494,781.0,8.449898759797251e-05,0.02125406326239476,0.007325123619982341,0.09854155959553468,781.0,-0.05646407619058895,0.5439759754401299,0.007565419486096951,0.5090240147885103,781.0,1,0.6,0.005,independent,80,0.3637757626505705,0.3309168566167304,0.0,0.00609170567072152,0.4941173374090849,0.0625,781,,,,,
pi_pairs,0.022708238330846967,0.01807688801725727,-0.06596752871177118,0.09803573253920528,40.0,0.024054823175287652,0.013886951085266122,-0.07442716594668772,0.12054895806397492,40.0,-0.005539648331567711,0.3777996329406063,0.002270449637680573,0.3757520726668905,40.0,1,0.6,0.005,independent,80,0.3637757626505705,0.3309168566167304,0.0,0.00609170567072152,0.4941173374090849,0.0625,40,,,,,
one_direction,,,,,,,,,,,,,,,,1,0.6,0.005,independent,80,0.3637757626505705,0.3309168566167304,0.0,0.00609170567072152,0.4941173374090849,0.0625,3160,0.059443734159056495,0.03832761388150905,0.1263388252245181,0.2625768644450873,3160.0
summary_only,-0.0018113605693407806,0.04237481623459809,0.004463462081679929,0.13285276105591048,3160.0,-0.002819326361771709,0.019769453575395585,0.005704232372540429,0.08953344907960858,3160.0,-0.05366003919878946,0.5437904860104157,0.0014021955928314883,0.4974556958380213,3160.0,1,0.6,0.005,independent,80,0.3637757626505705,0.3309168566167304,0.0,0.00609170567072152,0.4941173374090849,0.0625,3160,,,,,
