Species_1,Species_2,K2P_Distance
Achimenes flava,Achimenes patens,0.015688
Adenocalymma nodosum,Adenocalymma peregrinum,0.071142
Anacyclus clavatus,Anacyclus homogamos,0.020246
Antirrhinum pulverulentum,Antirrhinum majus,0.011731
Aquilegia canadensis,Aquilegia caerulea,0
Aquilegia ecalcarata,Aquilegia vulgaris,0
Aquilegia elegantula,Aquilegia flabellata,0.008243
Arenaria uniflora,Arenaria glabra,NA
Arisaema bockii,Arisaema lobatum,0.059404
Arnebia guttata,Arnebia szechenyi,0.105286
Asclepias perennis,Asclepias incarnata,NA
Bidens carpodonta,Bidens longistyla,NA
Boechera stricta,Boechera retrofracta,0.007722
Buddleja crispa,Buddleja officinalis,0.291439
Caiophora carduifolia,Caiophora chuquitensis,0.025228
Cakile maritima,Cakile edentula,0.00444
Calceolaria arachnoidea,Calceolaria filicaulis,0.089405
Calendula palaestina,Calendula pachysperma,NA
Casuarina equisetifolia,Casuarina cristata,NA
Cattleya sincorana,Cattleya pfisteri,0.043864
Centaurium erythraea,Centaurium pulchellum,0.051814
Chamaecrista chapadae,Chamaecrista glaucofilix,0.134371
Chiloglottis valida,Chiloglottis jeanesii,NA
Clarkia borealis,Clarkia mildrediae,NA
Clarkia tembloriensis,Clarkia exilis,NA
Clarkia virgata,Clarkia australis,NA
Corymbia torelliana,Corymbia citriodora,0.032316
Corymbia torelliana,Corymbia citriodora,0.032316
Costus bracteatus,Costus lasius,0.008012
Costus guanaiensis,Costus villosissimus,0.004
Costus scaber,Costus woodsonii,0.004
Cyrtandra kauaiensis,Cyrtandra longifolia,0.035383
Dactylorhiza maculata,Dactylorhiza incarnata,0.009175
Dendrobium secundum,Dendrobium aphyllum,0.270208
Dianthus carthusianorum,Dianthus sylvestris,0.004082
Diplacus johnstonii,Diplacus brevipes,0.019733
Elymus tenuispicus,Elymus pendulinus,NA
Epidendrum secundum,Epidendrum xanthinum,0.015626
Erica plukenetii,Erica coccinea,0.035774
Erythranthe caespitosa,Erythranthe minor,NA
Erythranthe decora,Erythranthe guttata,NA
Erythranthe lutea,Erythranthe cuprea,0.004343
Erythranthe verbenacea,Erythranthe lewisii,0.003872
Erythranthe verbenacea,Erythranthe lewisii,0.003872
Eucalyptus globulus,Eucalyptus nitens,0.007722
Gymnadenia conopsea,Gymnadenia odoratissima,0
Habenaria limprichtii,Habenaria davidii,0.003861
Helianthus mollis,Helianthus occidentalis,0.007794
Helianthus petiolaris,Helianthus annuus,0.003857
Helianthus petiolaris,Helianthus annuus,0.003857
Hemerocallis fulva,Hemerocallis citrina,NA
Hibiscus moscheutos,Hibiscus laevis,0
Hibiscus moscheutos,Hibiscus laevis,0
Hydrophyllum canadense,Hydrophyllum virginianum,NA
Iochroma cyaneum,Iochroma gesnerioides,0.023179
Ipomoea cavalcantei,Ipomoea marabensis,0.014122
Ipomoea cordatotriloba,Ipomoea lacunosa,0.007733
Ipomopsis aggregata,Ipomopsis arizonica,0
Ipomopsis aggregata,Ipomopsis arizonica,0
Iris atrofusca,Iris mariae,NA
Iris brevicaulis,Iris fulva,NA
Jaltomata darcyana,Jaltomata repandidentata,NA
Jaltomata dendroidea,Jaltomata umbellata,NA
Jaltomata sinuosa,Jaltomata yungayensis,NA
Kalmia angustifolia,Kalmia polifolia,0.041978
Kalmia hirsuta,Kalmia latifolia,0.052948
Lactuca virosa,Lactuca saligna,0.043779
