genus,species,ovule_number,confidence,life_history,mating_system
Sagittaria,Sagittaria guayanensis,1,1,annual,mixed-mating
Sagittaria,Sagittaria montevidensis,1,1,perennial,outcrossing
Sagittaria,Sagittaria platyphylla,1,1,perennial,mixed-mating
Sagittaria,Sagittaria potamogetifolia,1,1,perennial,mixed-mating
Sagittaria,Sagittaria pygmaea,1,1,perennial,mixed-mating
Sagittaria,Sagittaria trifolia,1,1,perennial,mixed-mating
Narcissus,Narcissus cavanillesii,50,3,perennial,mixed-mating
Narcissus,Narcissus miniatus,50,3,perennial,mixed-mating
Asclepias,Asclepias curassavica,116.5,1,woody,mixed-mating
Asclepias,Asclepias incarnata,58.2,1,perennial,mixed-mating
Asclepias,Asclepias perennis,43.8,1,woody,outcrossing
Asclepias,Asclepias texana,48.8,1,woody,outcrossing
Arisaema,Arisaema bockii,4,3,perennial,outcrossing
Arisaema,Arisaema erubescens,4.5,3,perennial,outcrossing
Arisaema,Arisaema lobatum,4.5,3,perennial,outcrossing
Hemerocallis,Hemerocallis citrina,36.94,1,perennial,outcrossing
Hemerocallis,Hemerocallis fulva,29.68,1,perennial,outcrossing
Anacyclus,Anacyclus clavatus,1,1,annual,outcrossing
Anacyclus,Anacyclus homogamos,1,1,annual,outcrossing
Bidens,Bidens carpodonta,1,1,annual,outcrossing
Bidens,Bidens ferulifolia,1,1,annual,outcrossing
Bidens,Bidens longistyla,1,1,annual,outcrossing
Calendula,Calendula pachysperma,1,1,annual,selfing
Calendula,Calendula palaestina,1,1,annual,selfing
Helianthus,Helianthus annuus,1,1,annual,outcrossing
Helianthus,Helianthus grosseserratus,1,1,perennial,outcrossing
Helianthus,Helianthus mollis,1,1,perennial,outcrossing
Helianthus,Helianthus occidentalis,1,1,perennial,outcrossing
Helianthus,Helianthus petiolaris,1,1,annual,outcrossing
Lactuca,Lactuca saligna,1,1,annual,selfing
Lactuca,Lactuca serriola,1,1,annual,selfing
Lactuca,Lactuca virosa,1,1,annual,selfing
Senecio,Senecio eboracensis,1,1,annual,outcrossing
Senecio,Senecio glaucus,1,1,perennial,outcrossing
Senecio,Senecio squalidus,1,1,perennial,outcrossing
Senecio,Senecio vulgaris,1,1,annual,mixed-mating
Taraxacum,Taraxacum ceratophorum,1,1,perennial,outcrossing
Taraxacum,Taraxacum officinale,1,1,perennial,selfing
Ostryopsis,Ostryopsis nobilis,2,1,woody,outcrossing
Ostryopsis,Ostryopsis davidiana,2,2,woody,outcrossing
Ostryopsis,Ostryopsis intermedia,2,2,woody,outcrossing
Adenocalymma,Adenocalymma nodosum,10,1,woody,outcrossing
Adenocalymma,Adenocalymma peregrinum,14.1,1,woody,outcrossing
Arnebia,Arnebia guttata,4,1,perennial,outcrossing
Arnebia,Arnebia szechenyi,4,1,perennial,outcrossing
Hydrophyllum,Hydrophyllum appendiculatum,1,1,annual,mixed-mating
Hydrophyllum,Hydrophyllum canadense,4,1,perennial,mixed-mating
Hydrophyllum,Hydrophyllum virginianum,4,1,perennial,mixed-mating
Hydrophyllum,Hydrophyllum capitatum,4,2,perennial,mixed-mating
Hydrophyllum,Hydrophyllum fendleri,4,2,perennial,mixed-mating
Hydrophyllum,Hydrophyllum macrophyllum,4,2,perennial,mixed-mating
Hydrophyllum,Hydrophyllum occidentale,4,2,perennial,mixed-mating
Hydrophyllum,Hydrophyllum tenuipes,4,2,perennial,mixed-mating
Boechera,Boechera retrofracta,88,1,perennial,selfing
Boechera,Boechera stricta,163,1,perennial,selfing
Cakile,Cakile edentula,2,1,annual,selfing
Cakile,Cakile maritima,3.1,1,annual,outcrossing
Leavenworthia,Leavenworthia alabamica,12,1,annual,mixed-mating
Leavenworthia,Leavenworthia crassa,8,1,annual,mixed-mating
Streptanthus,Streptanthus diversifolius,55.5,1,annual,mixed-mating
Streptanthus,Streptanthus drepanoides,42.4,1,annual,mixed-mating
Streptanthus,Streptanthus glandulosus,47.1,1,annual,mixed-mating
Streptanthus *(see notes column),Streptanthus lasiophyllus,37,1,annual,mixed-mating
Streptanthus,Streptanthus morrisonii,14.2,1,annual,mixed-mating
Streptanthus,Streptanthus tortuosus,50.9,1,perennial,mixed-mating
Streptanthus *(see notes column),Streptanthus amplexicaulis,54,3,annual,mixed-mating
Streptanthus *(see notes column),Streptanthus anceps,54,3,annual,mixed-mating
Streptanthus,Streptanthus barbiger,54,3,annual,mixed-mating
Streptanthus,Streptanthus batrachopus,54,3,annual,mixed-mating
Streptanthus,Streptanthus brachiatus,54,3,annual,mixed-mating
Streptanthus,Streptanthus breweri,54,3,annual,mixed-mating
Streptanthus *(see notes column),Streptanthus coulteri,54,3,annual,mixed-mating
Streptanthus *(see notes column),Streptanthus flavescens,54,3,annual,mixed-mating
Streptanthus,Streptanthus hesperidis,54,3,annual,mixed-mating
Streptanthus *(see notes column),Streptanthus inflatus,54,3,annual,mixed-mating
Streptanthus,Streptanthus vernalis,54,3,annual,mixed-mating
Sinalliaria,Sinalliaria grandifolia,NA,5,annual,outcrossing
Sinalliaria,Sinalliaria limprichtiana,NA,5,annual,outcrossing
