family,genus,table1,species,level,number,Remove
Salicaceae,Abatia,no,Abatia spp.,genus,NA,
Malvaceae,Abelmoschus,no,Abelmoschus esculentus,species,84,
Malvaceae,Abelmoschus,no,Abelmoschus moschatus,species,NA,
Malvaceae,Abelmoschus,no,Abelmoschus moschatus,species,15,
Pinaceae,Abies,no,Abies spp.,family,2,yes
Fabaceae,Abrus,no,Abrus precatorius,species,6,
Malvaceae,Abutilon,no,Abutilon auritum,species,30,yes
Malvaceae,Abutilon,no,Abutilon auritum,species,30,
Malvaceae,Abutilon,no,Abutilon fruticosum,species,50.5,
Malvaceae,Abutilon,no,Abutilon micropetalum,species,34,yes
Malvaceae,Abutilon,no,Abutilon micropetalum,species,34,
Fabaceae,Acacia,no,Acacia auriculiformis,species,16,
Fabaceae,Acacia,no,Acacia baileyana,species,12,
Fabaceae,Acacia,no,Acacia mangium,species,13.3,
Rosaceae,Acaena,no,Acaena alpina,species,1.17,
Rosaceae,Acaena,no,Acaena pinnatifida,species,1,
Rosaceae,Acaena,no,Acaena splendens,species,2.08,
Euphorbiaceae,Acalypha,no,Acalypha eremorum,species,3,
Acanthaceae,Acanthus,no,Acanthus hungaricus,species,4,
Sapindaceae,Acer,no,Acer oblongum,species,4,
Sapindaceae,Acer,no,Acer rubrum,species,2,
Sapindaceae,Acer,no,Acer spp.,genus,4,
Sapindaceae,Acer,no,Acer spp.,genus,3,
Asteraceae,Achillea,no,Achillea atrata,species,1,
Asteraceae,Achillea,no,Achillea clusiana,species,1,
Asteraceae,Achillea,no,Achillea millefolium,species,1,
Asteraceae,Achillea,no,Achillea millefolium,species,1,yes
Amaranthaceae,Achyranthes,no,Achyranthes spp.,genus,1,
Fabaceae,Acmispon,no,Acmispon brachycarpus,species,2,
Fabaceae,Acmispon,no,Acmispon brachycarpus,species,2,yes
Fabaceae,Acmispon,no,Acmispon parviflorus,species,4,
Fabaceae,Acmispon,no,Acmispon parviflorus,species,4,yes
Ranunculaceae,Aconitum,no,Aconitum anthora,species,56.3,
Ranunculaceae,Aconitum,no,Aconitum lycoctonum,species,28.5,
Ranunculaceae,Aconitum,no,Aconitum napellus,species,57,
Ranunculaceae,Aconitum,no,Aconitum piepunense,species,289.734359,yes
Ranunculaceae,Aconitum,no,Aconitum piepunense,species,290,
Ranunculaceae,Aconitum,no,Aconitum piepunense,species,58,
Acoraceae,Acorus,no,Acorus calamus,species,NA,
Acoraceae,Acorus,no,Acorus calamus,species,2,
Rutaceae,Acronychia,no,Acronychia laevis,species,8,yes
Rutaceae,Acronychia,no,Acronychia laevis,species,8,
Rutaceae,Acronychia,no,Acronychia laevis,species,8,
Ericaceae,Acrotriche,no,Acrotriche affinis,species,4.6,
Ericaceae,Acrotriche,no,Acrotriche depressa,species,1.9,
Ericaceae,Acrotriche,no,Acrotriche patula,species,6.6,
Ericaceae,Acrotriche,no,Acrotriche serrulata,species,5.4,
Phyllanthaceae,Actephila,no,Actephila merrilliana,species,6,
Actinidiaceae,Actinidia,no,Actinidia spp.,genus,NA,
Lauraceae,Actinodaphne,no,Actinodaphne spp.,genus,1,
Fabaceae,Adenanthera,no,Adenanthera abrosperma,species,15.1,
Fabaceae,Adenanthera,no,Adenanthera aglaosperma,species,13.1,
Fabaceae,Adenanthera,no,Adenanthera novoguineensis,species,14.7,
Fabaceae,Adenanthera,no,Adenanthera pavonina,species,12.1,
Fabaceae,Adenocarpus,no,Adenocarpus complicatus,species,9.64,
Fabaceae,Adenocarpus,no,Adenocarpus complicatus,species,9.74,
Fabaceae,Adenocarpus,no,Adenocarpus complicatus,species,10.035,
Fabaceae,Adenocarpus,no,Adenocarpus hispanicus,species,6.07,
Fabaceae,Adenocarpus,no,Adenocarpus hispanicus,species,5.86,
Fabaceae,Adenocarpus,no,Adenocarpus hispanicus,species,6.41,
Fabaceae,Adenocarpus,no,Adenocarpus hispanicus,species,6.25,
Fabaceae,Adenocarpus,no,Adenocarpus telonensis,species,0.7,
Fabaceae,Adenocarpus,no,Adenocarpus telonensis,species,6.9,yes
Fabaceae,Adenocarpus,no,Adenocarpus telonensis,species,6.99,yes
Fabaceae,Adenocarpus,no,Adenocarpus telonensis,species,6.9,
Fabaceae,Adenocarpus,no,Adenocarpus telonensis,species,7,
Campanulaceae,Adenophora,no,Adenophora capillaris,species,152.054753,yes
Campanulaceae,Adenophora,no,Adenophora capillaris,species,152,
Campanulaceae,Adenophora,no,Adenophora jasionifolia,species,194.088588,yes
Campanulaceae,Adenophora,no,Adenophora jasionifolia,species,194,
Campanulaceae,Adenophora,no,Adenophora khasiana,species,247.172415,
Campanulaceae,Adenophora,no,Adenophora khasiana,species,138,
Campanulaceae,Adenophora,no,Adenophora khasiana,species,356,
Campanulaceae,Adenophora,no,Adenophora khasiana,species,138,
Rosaceae,Adenostoma,no,Adenostoma fasciculatum,species,2,
Fabaceae,Adesmia,no,Adesmia brachysemeon,species,3.83,
Fabaceae,Adesmia,no,Adesmia capitellata,species,3,
Fabaceae,Adesmia,no,Adesmia coronilloides,species,2.08,
Fabaceae,Adesmia,no,Adesmia coronilloides,species,3,
Fabaceae,Adesmia,no,Adesmia corymbosa,species,5.00034535,yes
Fabaceae,Adesmia,no,Adesmia corymbosa,species,5,
Fabaceae,Adesmia,no,Adesmia exilis,species,4,
Fabaceae,Adesmia,no,Adesmia glomerula,species,2.48,
Fabaceae,Adesmia,no,Adesmia montana,species,2.2,
Fabaceae,Adesmia,no,Adesmia papposa,species,3.83,
Fabaceae,Adesmia,no,Adesmia paramela,species,3.49945167,yes
Fabaceae,Adesmia,no,Adesmia paramela,species,3.5,
Fabaceae,Adesmia,no,Adesmia parviflora,species,7.99834255,yes
Fabaceae,Adesmia,no,Adesmia parviflora,species,8,
Fabaceae,Adesmia,no,Adesmia schneideri,species,5.24,
Fabaceae,Adesmia,no,Adesmia tristis,species,5,
Bromeliaceae,Aechmea,no,Aechmea lasseri,species,100.66,
Bromeliaceae,Aechmea,no,Aechmea spp.,genus,9,
Plumbaginaceae,Aegialitis,no,Aegialitis rotundifolia,species,1,
Primulaceae,Aegiceras,no,Aegiceras corniculatum,species,NA,
Primulaceae,Aegiceras,no,Aegiceras corniculatum,species,NA,
Primulaceae,Aegiceras,no,Aegiceras corniculatum,species,40,
Rutaceae,Aegle,no,Aegle marmelos,species,127.9,
Rutaceae,Aegle,no,Aegle spp.,genus,NA,
Sapindaceae,Aesculus,no,Aesculus indica,species,6,
Sapindaceae,Aesculus,no,Aesculus spp.,genus,3,
Brassicaceae,Aethionema,no,Aethionema carneum,species,4.4,
Brassicaceae,Aethionema,no,Aethionema heterocarpum,species,5.6,
Huaceae,Afrostyrax,no,Afrostyrax spp.,family,1,
Orobanchaceae,Agalinis,no,Agalinis auriculata,species,237.6,
Orobanchaceae,Agalinis,no,Agalinis strictifolia,species,325.9,
Orobanchaceae,Agalinis,no,Agalinis strictifolia,species,318,
Orobanchaceae,Agalinis,no,Agalinis strictifolia,species,325.9,yes
Asparagaceae,Agave,no,Agave mckelveyana,species,300,
Asparagaceae,Agave,no,Agave spp.,genus,NA,
Asparagaceae,Agave,no,Agave spp.,genus,NA,
Meliaceae,Aglaia,no,Aglaia spp.,genus,3,
Araceae,Aglaonema,no,Aglaonema spp.,genus,1,
Asteraceae,Agoseris,no,Agoseris heterophylla,species,1,
Asteraceae,Agoseris,no,Agoseris heterophylla,species,1,yes
Caryophyllaceae,Agrostemma,no,Agrostemma githago,species,30,yes
Caryophyllaceae,Agrostemma,no,Agrostemma githago,species,30,
Rubiaceae,Aidia,no,Aidia racemosa,species,12,yes
Rubiaceae,Aidia,no,Aidia racemosa,species,12,
Simaroubaceae,Ailanthus,no,Ailanthus spp.,genus,7,
Simaroubaceae,Ailanthus,no,Ailanthus spp.,genus,5.25,
Aizoaceae,Aizoon,no,Aizoon sarcophyllum,species,3,
Lamiaceae,Ajuga,no,Ajuga chamaepitys,species,4,
Lamiaceae,Ajuga,no,Ajuga chamaepitys,species,7.48,
Lamiaceae,Ajuga,no,Ajuga forrestii,species,3.9994475,yes
Lamiaceae,Ajuga,no,Ajuga forrestii,species,4,
Lamiaceae,Ajuga,no,Ajuga forrestii,species,4,yes
Lamiaceae,Ajuga,no,Ajuga iva,species,3.96,
Lamiaceae,Ajuga,no,Ajuga iva,species,3.94,
Akaniaceae,Akania,no,Akania spp.,family,8,
Akaniaceae,Akania,no,Akania spp.,genus,6,
Lardizabalaceae,Akebia,no,Akebia spp.,family,NA,
Cornaceae,Alangium,no,Alangium salviifolium,species,1,
Cornaceae,Alangium,no,Alangium spp.,genus,1,
Bromeliaceae,Alcantarea,no,Alcantarea nahoumii,species,551,
Malvaceae,Alcea,no,Alcea spp.,genus,NA,
Sapindaceae,Alectryon,no,Alectryon connatum,species,3,
