family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Gesneriaceae,Achimenes,,achimenes antirrhina || achimenes flava,fruit set,Achimenes antirrhina,Achimenes flava,52.83,10.84,0.2051864470944539,0.7948135529055461,,304.0,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Gesneriaceae,Achimenes,,achimenes antirrhina || achimenes flava,fruit set,Achimenes flava,Achimenes antirrhina,74.05,12.05,0.16272788656313303,0.837272113436867,304.0,,,3.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Gesneriaceae,Achimenes,,achimenes antirrhina || achimenes patens,fruit set,Achimenes antirrhina,Achimenes patens,52.83,15.11,0.28601173575619915,0.7139882642438009,,946.0,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Gesneriaceae,Achimenes,,achimenes antirrhina || achimenes patens,fruit set,Achimenes patens,Achimenes antirrhina,72.85,48.1,0.6602608098833219,0.3397391901166781,946.0,,,3.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Gesneriaceae,Achimenes,Achimenes,achimenes flava || achimenes patens,seed set,Achimenes flava,Achimenes patens,219.78,107.0,0.4868504868504869,0.5131495131495132,304.0,946.0,-0.49301755279303894,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,0.015688,True,True,True
Gesneriaceae,Achimenes,Achimenes,achimenes flava || achimenes patens,seed set,Achimenes patens,Achimenes flava,69.0,187.41,2.716086956521739,-1.716086956521739,946.0,304.0,0.49301755279303894,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,0.015688,True,True,True
Bignoniaceae,Adenocalymma,Adenocalymma,adenocalymma nodosum || adenocalymma peregrinum,seed set,Adenocalymma nodosum,Adenocalymma peregrinum,0.26208,0.20482,0.7815170940170941,0.21848290598290587,10.0,14.1,-0.1492191126553799,1.0,1.0,woody,woody,outcrossing,outcrossing,0.071142,True,True,True
Bignoniaceae,Adenocalymma,Adenocalymma,adenocalymma nodosum || adenocalymma peregrinum,seed set,Adenocalymma peregrinum,Adenocalymma nodosum,0.12096,0.108528,0.8972222222222223,0.10277777777777775,14.1,10.0,0.1492191126553799,1.0,1.0,woody,woody,outcrossing,outcrossing,0.071142,True,True,True
Asteraceae,Anacyclus,Anacyclus,anacyclus clavatus || anacyclus homogamos,seed set,Anacyclus clavatus,Anacyclus homogamos,0.88,0.89,1.0113636363636365,-0.011363636363636465,1.0,1.0,0.0,1.0,1.0,annual,annual,outcrossing,outcrossing,0.020246,True,True,True
Asteraceae,Anacyclus,Anacyclus,anacyclus clavatus || anacyclus homogamos,seed set,Anacyclus homogamos,Anacyclus clavatus,0.88,0.92,1.0454545454545454,-0.045454545454545414,1.0,1.0,0.0,1.0,1.0,annual,annual,outcrossing,outcrossing,0.020246,True,True,True
Plantaginaceae,Antirrhinum,Antirrhinum,antirrhinum majus || antirrhinum pulverulentum,seed set,Antirrhinum pulverulentum,Antirrhinum majus,75.74,35.94,0.4745180881964616,0.5254819118035384,176.4,262.3,-0.17229970979455267,1.0,1.0,woody,annual,outcrossing,outcrossing,0.011731,True,True,True
Plantaginaceae,Antirrhinum,Antirrhinum,antirrhinum majus || antirrhinum pulverulentum,seed set,Antirrhinum majus,Antirrhinum pulverulentum,65.13,30.91,0.47458928297251657,0.5254107170274834,262.3,176.4,0.17229970979455267,1.0,1.0,annual,woody,outcrossing,outcrossing,0.011731,True,True,True
Plantaginaceae,Antirrhinum,,antirrhinum controversum || antirrhinum valentinum,seed set,Antirrhinum valentinum,Antirrhinum controversum,77.85,77.1,0.9903660886319846,0.009633911368015391,219.8,346.04,-0.19709861525791883,1.0,1.0,perennial,perennial,outcrossing,outcrossing,,False,True,False
Plantaginaceae,Antirrhinum,,antirrhinum controversum || antirrhinum valentinum,seed set,Antirrhinum controversum,Antirrhinum valentinum,69.6,21.02,0.3020114942528736,0.6979885057471265,346.04,219.8,0.19709861525791883,1.0,1.0,perennial,perennial,outcrossing,outcrossing,,False,True,False
Ranunculaceae,Aquilegia,Aquilegia01,aquilegia caerulea || aquilegia canadensis,seed set,Aquilegia canadensis,Aquilegia caerulea,72.25,,,,25.0,37.0,-0.17026171539495727,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.0,True,False,False
Ranunculaceae,Aquilegia,Aquilegia01,aquilegia caerulea || aquilegia canadensis,seed set,Aquilegia caerulea,Aquilegia canadensis,68.4,62.3,0.9108187134502923,0.0891812865497077,37.0,25.0,0.17026171539495727,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.0,True,True,True
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia flabellata,seed set,Aquilegia canadensis,Aquilegia flabellata,72.25,48.4,0.6698961937716262,0.33010380622837376,25.0,,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia flabellata,seed set,Aquilegia flabellata,Aquilegia canadensis,77.5,49.6,0.64,0.36,,25.0,,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia japonica,seed set,Aquilegia canadensis,Aquilegia japonica,72.25,54.3,0.7515570934256055,0.2484429065743945,25.0,,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia japonica,seed set,Aquilegia japonica,Aquilegia canadensis,69.8,,,,,25.0,,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia longissima,seed set,Aquilegia canadensis,Aquilegia longissima,72.25,67.7,0.9370242214532872,0.06297577854671277,25.0,,,1.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Ranunculaceae,Aquilegia,,aquilegia canadensis || aquilegia longissima,seed set,Aquilegia longissima,Aquilegia canadensis,65.7,62.3,0.9482496194824961,0.05175038051750391,,25.0,,4.0,1.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
