O,psi,alpha,mean_K,Omega,mean_Sz_perflower,Sz_at_meanK,frac_competitive,Ostar
2.0,0.001,0.25,0.2865,0.01198333333333333,0.019451926203136804,0.0,0.0315,0.3968502629920499
3.0,0.001,0.25,0.21733333333333332,0.003175,0.00528821854914418,0.0,0.011,0.3968502629920499
4.0,0.001,0.25,0.1745,0.0014095238095238093,0.0023529498814112396,0.0,0.005,0.3968502629920499
7.0,0.001,0.25,0.11699999999999997,0.0,0.0,0.0,0.0,0.3968502629920499
10.0,0.001,0.25,0.08615,0.0,0.0,0.0,0.0,0.3968502629920499
15.0,0.001,0.25,0.06356666666666666,0.0,0.0,0.0,0.0,0.3968502629920499
22.0,0.001,0.25,0.05138636363636363,0.0,0.0,0.0,0.0,0.3968502629920499
33.0,0.001,0.25,0.03512121212121212,0.0,0.0,0.0,0.0,0.3968502629920499
49.0,0.001,0.25,0.0275,0.0,0.0,0.0,0.0,0.3968502629920499
73.0,0.001,0.25,0.019883561643835614,0.0,0.0,0.0,0.0,0.3968502629920499
110.0,0.001,0.25,0.015,0.0,0.0,0.0,0.0,0.3968502629920499
164.0,0.001,0.25,0.010990853658536586,0.0,0.0,0.0,0.0,0.3968502629920499
244.0,0.001,0.25,0.008077868852459015,0.0,0.0,0.0,0.0,0.3968502629920499
365.0,0.001,0.25,0.006161643835616438,0.0,0.0,0.0,0.0,0.3968502629920499
544.0,0.001,0.25,0.004499080882352942,0.0,0.0,0.0,0.0,0.3968502629920499
812.0,0.001,0.25,0.0032592364532019703,0.0,0.0,0.0,0.0,0.3968502629920499
1212.0,0.001,0.25,0.0025177392739273927,0.0,0.0,0.0,0.0,0.3968502629920499
1809.0,0.001,0.25,0.0017686567164179104,0.0,0.0,0.0,0.0,0.3968502629920499
2701.0,0.001,0.25,0.0013317289892632361,0.0,0.0,0.0,0.0,0.3968502629920499
4031.0,0.001,0.25,0.0010164971471098982,0.0,0.0,0.0,0.0,0.3968502629920499
6016.0,0.001,0.25,0.0007606382978723403,0.0,0.0,0.0,0.0,0.3968502629920499
8979.0,0.001,0.25,0.0005462189553402383,0.0,0.0,0.0,0.0,0.3968502629920499
13400.0,0.001,0.25,0.0004071268656716418,0.0,0.0,0.0,0.0,0.3968502629920499
20000.0,0.001,0.25,0.00029935,0.0,0.0,0.0,0.0,0.3968502629920499
2.0,0.001,0.5,0.353,0.02095,0.03401417092126228,0.0,0.0545,0.25
3.0,0.001,0.5,0.2885,0.007873214285714285,0.012965363175889285,0.0,0.024,0.25
4.0,0.001,0.5,0.253375,0.0032309523809523812,0.00550770609273836,0.0,0.0135,0.25
7.0,0.001,0.5,0.19757142857142856,0.0001875,0.00035289176600853203,0.0,0.0015,0.25
10.0,0.001,0.5,0.15419999999999998,0.0,0.0,0.0,0.0,0.25
15.0,0.001,0.5,0.12933333333333336,0.0,0.0,0.0,0.0,0.25
22.0,0.001,0.5,0.10738636363636363,0.0,0.0,0.0,0.0,0.25
33.0,0.001,0.5,0.08725757575757576,0.0,0.0,0.0,0.0,0.25
49.0,0.001,0.5,0.07117346938775511,0.0,0.0,0.0,0.0,0.25
73.0,0.001,0.5,0.0571917808219178,0.0,0.0,0.0,0.0,0.25
110.0,0.001,0.5,0.045868181818181815,0.0,0.0,0.0,0.0,0.25
164.0,0.001,0.5,0.038765243902439024,0.0,0.0,0.0,0.0,0.25
244.0,0.001,0.5,0.03207377049180327,0.0,0.0,0.0,0.0,0.25
365.0,0.001,0.5,0.025932876712328762,0.0,0.0,0.0,0.0,0.25
544.0,0.001,0.5,0.02143841911764706,0.0,0.0,0.0,0.0,0.25
812.0,0.001,0.5,0.01757204433497537,0.0,0.0,0.0,0.0,0.25
1212.0,0.001,0.5,0.014620874587458747,0.0,0.0,0.0,0.0,0.25
1809.0,0.001,0.5,0.01174046434494196,0.0,0.0,0.0,0.0,0.25
2701.0,0.001,0.5,0.009661051462421327,0.0,0.0,0.0,0.0,0.25
4031.0,0.001,0.5,0.007724758124534855,0.0,0.0,0.0,0.0,0.25
6016.0,0.001,0.5,0.006554853723404255,0.0,0.0,0.0,0.0,0.25
8979.0,0.001,0.5,0.005294297805991758,0.0,0.0,0.0,0.0,0.25
13400.0,0.001,0.5,0.004256044776119404,0.0,0.0,0.0,0.0,0.25
20000.0,0.001,0.5,0.003525025,0.0,0.0,0.0,0.0,0.25
2.0,0.001,0.75,0.4235,0.028391666666666666,0.04616818738226719,0.0,0.075,0.0625
3.0,0.001,0.75,0.37316666666666665,0.014646428571428572,0.02426280167052473,0.0,0.047,0.0625
4.0,0.001,0.75,0.359,0.011161832611832612,0.01867548397591901,0.0,0.0395,0.0625
7.0,0.001,0.75,0.3048571428571429,0.004260693473193473,0.00736462866037539,0.0,0.0205,0.0625
10.0,0.001,0.75,0.29005000000000003,0.001833150917709741,0.0031816708993657253,0.0,0.0095,0.0625
15.0,0.001,0.75,0.24743333333333334,0.00020465686274509805,0.00039287518677379944,0.0,0.002,0.0625
22.0,0.001,0.75,0.22784090909090907,8.17391304347826e-05,0.0001618519497911863,0.0,0.001,0.0625
33.0,0.001,0.75,0.20525757575757572,6.578947368421052e-05,0.0001228193079482308,0.0,0.0005,0.0625
49.0,0.001,0.75,0.19185714285714286,0.0,0.0,0.0,0.0,0.0625
73.0,0.001,0.75,0.17115753424657532,0.0,0.0,0.0,0.0,0.0625
110.0,0.001,0.75,0.15563181818181818,0.0,0.0,0.0,0.0,0.0625
164.0,0.001,0.75,0.1382378048780488,0.0,0.0,0.0,0.0,0.0625
244.0,0.001,0.75,0.1283094262295082,0.0,0.0,0.0,0.0,0.0625
365.0,0.001,0.75,0.11533287671232878,0.0,0.0,0.0,0.0,0.0625
544.0,0.001,0.75,0.10664613970588235,0.0,0.0,0.0,0.0,0.0625
812.0,0.001,0.75,0.09466810344827588,0.0,0.0,0.0,0.0,0.0625
1212.0,0.001,0.75,0.0847743399339934,0.0,0.0,0.0,0.0,0.0625
1809.0,0.001,0.75,0.07720425649530127,0.0,0.0,0.0,0.0,0.0625
2701.0,0.001,0.75,0.06928637541651242,0.0,0.0,0.0,0.0,0.0625
4031.0,0.001,0.75,0.06221074175142644,0.0,0.0,0.0,0.0,0.0625
6016.0,0.001,0.75,0.055630069813829786,0.0,0.0,0.0,0.0,0.0625
8979.0,0.001,0.75,0.05121127074284442,0.0,0.0,0.0,0.0,0.0625
13400.0,0.001,0.75,0.04605712686567164,0.0,0.0,0.0,0.0,0.0625
20000.0,0.001,0.75,0.040981575,0.0,0.0,0.0,0.0,0.0625
