alpha,psi,architecture,data_structure,asym_model_beta_intercept_mean,asym_model_beta_intercept_std,asym_model_beta_delta_logK_mean,asym_model_beta_delta_logK_std,asym_model_beta_divergence_time_mean,asym_model_beta_divergence_time_std,asym_model_r2_mean,asym_model_r2_std,asym_model_n_mean,asym_model_n_std,ovule_proxy_beta_intercept_mean,ovule_proxy_beta_intercept_std,ovule_proxy_beta_delta_logO_proxy_mean,ovule_proxy_beta_delta_logO_proxy_std,ovule_proxy_beta_divergence_time_mean,ovule_proxy_beta_divergence_time_std,ovule_proxy_r2_mean,ovule_proxy_r2_std,ovule_proxy_n_mean,ovule_proxy_n_std,post_model_beta_intercept_mean,post_model_beta_intercept_std,post_model_beta_divergence_time_mean,post_model_beta_divergence_time_std,post_model_beta_abs_delta_logK_mean,post_model_beta_abs_delta_logK_std,post_model_r2_mean,post_model_r2_std,post_model_n_mean,post_model_n_std,replicate_mean,replicate_std,n_tips_mean,n_tips_std,mean_K_mean,mean_K_std,median_K_mean,median_K_std,prop_K_gt_1_mean,prop_K_gt_1_std,mean_omega_mean,mean_omega_std,mean_filter_F_mean,mean_filter_F_std,mean_sweeps_mean,mean_sweeps_std,n_pairs_used_mean,n_pairs_used_std,beta_intercept_mean,beta_intercept_std,beta_maternal_logK_mean,beta_maternal_logK_std,beta_divergence_time_mean,beta_divergence_time_std,r2_mean,r2_std,n_mean,n_std
0.6,0.005,independent,dense_reciprocal,0.0015090997320119763,0.007835574843427014,0.05318841306865238,0.010970999624667986,-0.0028540428788221676,0.008589383151177526,0.15721856380498778,0.054290909128131726,1225.0,0.0,0.0008990532943828356,0.005763849623032774,0.0216483688153207,0.008443784146550674,-0.003351634906132047,0.007478450384467066,0.11179630248897636,0.07075835559275012,1225.0,0.0,-0.04993999056113548,0.008584735562590023,0.5184454675414766,0.004493089622390492,0.013443126855955868,0.016261264970125852,0.4958457558559166,0.06924874526065948,1225.0,0.0,1.0,1.0,50.0,0.0,0.28656964215455877,0.007267813166495258,0.23842691680373085,0.0022318122310089217,0.006666666666666667,0.011547005383792516,0.004454619844974234,0.002532580149581055,0.4394387408813789,0.015637234951424786,0.06666666666666667,0.07023769168568493,1225.0,0.0,,,,,,,,,,
0.6,0.005,independent,one_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50.0,0.0,0.28656964215455877,0.007267813166495258,0.23842691680373085,0.0022318122310089217,0.006666666666666667,0.011547005383792516,0.004454619844974234,0.002532580149581055,0.4394387408813789,0.015637234951424786,0.06666666666666667,0.07023769168568493,1225.0,0.0,0.08072514465152981,0.009298334895260654,0.049628579678015074,0.008079246821900622,0.12338679512624462,0.004258010373961211,0.351605992916656,0.06589959264643219,1225.0,0.0
0.6,0.005,independent,pi_pairs,0.009531647138505819,0.015583492787343839,0.05353405133024849,0.010417066456505671,0.012985000221072388,0.016064662241736173,0.23139950202581272,0.0859851714048073,25.0,0.0,0.005637390949662408,0.0314053384803613,0.02376437721773152,0.003551054352086918,0.019444035055317704,0.007965275530457516,0.1737494098320489,0.04262996735228485,25.0,0.0,-0.0047163296221988385,0.02405131562821711,0.5407855954470059,0.09928364418957696,-0.04873449986378862,0.08260431438136498,0.5509381988712602,0.1626541233612235,25.0,0.0,1.0,1.0,50.0,0.0,0.28656964215455877,0.007267813166495258,0.23842691680373085,0.0022318122310089217,0.006666666666666667,0.011547005383792516,0.004454619844974234,0.002532580149581055,0.4394387408813789,0.015637234951424786,0.06666666666666667,0.07023769168568493,25.0,0.0,,,,,,,,,,
0.6,0.005,independent,sparse_reciprocal,-0.005404379816162906,0.008117899776612572,0.05741542855781075,0.009447483866310707,0.010541652983124745,0.015473836054927742,0.1718274378398524,0.05504176434139889,309.3333333333333,13.203534880225567,-0.002203375380287503,0.00997988994817622,0.022082053376099618,0.00819913699086967,0.004245103971197044,0.014423652950319422,0.10833762315643147,0.07085853099812545,309.3333333333333,13.203534880225567,-0.038329508365098595,0.0046385617746982485,0.513751529801992,0.03910940274738266,-0.002707233124741975,0.02220631772880833,0.49310243891356204,0.08297814050104771,309.3333333333333,13.203534880225567,1.0,1.0,50.0,0.0,0.28656964215455877,0.007267813166495258,0.23842691680373085,0.0022318122310089217,0.006666666666666667,0.011547005383792516,0.004454619844974234,0.002532580149581055,0.4394387408813789,0.015637234951424786,0.06666666666666667,0.07023769168568493,309.3333333333333,13.203534880225567,,,,,,,,,,
0.6,0.005,independent,summary_only,0.0015090997320119763,0.007835574843427014,0.05318841306865238,0.010970999624667986,-0.0028540428788221676,0.008589383151177526,0.15721856380498778,0.054290909128131726,1225.0,0.0,0.0008990532943828356,0.005763849623032774,0.0216483688153207,0.008443784146550674,-0.003351634906132047,0.007478450384467066,0.11179630248897636,0.07075835559275012,1225.0,0.0,-0.04993999056113548,0.008584735562590023,0.5184454675414766,0.004493089622390492,0.013443126855955868,0.016261264970125852,0.4958457558559166,0.06924874526065948,1225.0,0.0,1.0,1.0,50.0,0.0,0.28656964215455877,0.007267813166495258,0.23842691680373085,0.0022318122310089217,0.006666666666666667,0.011547005383792516,0.004454619844974234,0.002532580149581055,0.4394387408813789,0.015637234951424786,0.06666666666666667,0.07023769168568493,1225.0,0.0,,,,,,,,,,
0.6,0.005,linked,dense_reciprocal,-0.0024254481314922517,0.0030976712894571225,0.048017241376454266,0.006982741909002725,-0.0001676378387529097,0.005494517669732997,0.1445553869858518,0.014406288042874277,1225.0,0.0,-0.0015796435471070092,0.006098929889852468,0.02060586370339084,0.0031285022795810706,0.0019524004965196056,0.0068853309010723784,0.1081594038707309,0.023806681447784715,1225.0,0.0,-0.03558471253017026,0.007442772128463064,0.5275798153429058,0.014559328328710474,-0.00806440100409782,0.01717284938192132,0.5731152768441053,0.06937421409745226,1225.0,0.0,1.0,1.0,50.0,0.0,0.28230105025109004,0.013797653120296946,0.22891365803880004,0.010081965017152113,0.0,0.0,0.003795562180247561,0.0008669130641843339,0.4243373937119978,0.024196040572091716,0.08,0.034641016151377546,1225.0,0.0,,,,,,,,,,
0.6,0.005,linked,one_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50.0,0.0,0.28230105025109004,0.013797653120296946,0.22891365803880004,0.010081965017152113,0.0,0.0,0.003795562180247561,0.0008669130641843339,0.4243373937119978,0.024196040572091716,0.08,0.034641016151377546,1225.0,0.0,0.07341830194201382,0.003736296029778156,0.042751306020275624,0.0026574204894237456,0.1165101599408835,0.016192172279876967,0.39789802202909935,0.08233871059624638,1225.0,0.0
0.6,0.005,linked,pi_pairs,0.013735529734692624,0.008803481074171804,0.04612996698458172,0.027378527445918614,-0.04483602420967762,0.040760692294998666,0.277252378593376,0.17808717752057027,25.0,0.0,0.01031162421890774,0.01865520705695376,0.021790502077857224,0.013873047754328507,-0.04253304416655309,0.036127921442702604,0.2247610556416865,0.1471589701609364,25.0,0.0,-0.04443070304314739,0.09351586492196336,0.5883707526616836,0.0791996553486878,-0.013149394401194961,0.08029769226850535,0.7018214032389807,0.12782170437767762,25.0,0.0,1.0,1.0,50.0,0.0,0.28230105025109004,0.013797653120296946,0.22891365803880004,0.010081965017152113,0.0,0.0,0.003795562180247561,0.0008669130641843339,0.4243373937119978,0.024196040572091716,0.08,0.034641016151377546,25.0,0.0,,,,,,,,,,
0.6,0.005,linked,sparse_reciprocal,-4.8338088803839916e-05,0.008542048547151276,0.047158896041347924,0.00585191285356084,0.0067120455642753415,0.013456322107630321,0.13550489453416734,0.04187280883368777,299.0,8.18535277187245,0.0011774125439454727,0.006526955437782629,0.018475600565375262,0.005756134067514242,0.0071540943637126465,0.011153343601283046,0.09361875083817624,0.06036374280043903,299.0,8.18535277187245,-0.027658675746168256,0.009653401600656123,0.5414934391245029,0.03190598271446865,-0.021586794716287706,0.01694002288528924,0.5737566011207492,0.10749135843926834,299.0,8.18535277187245,1.0,1.0,50.0,0.0,0.28230105025109004,0.013797653120296946,0.22891365803880004,0.010081965017152113,0.0,0.0,0.003795562180247561,0.0008669130641843339,0.4243373937119978,0.024196040572091716,0.08,0.034641016151377546,299.0,8.18535277187245,,,,,,,,,,
0.6,0.005,linked,summary_only,-0.0024254481314922517,0.0030976712894571225,0.048017241376454266,0.006982741909002725,-0.0001676378387529097,0.005494517669732997,0.1445553869858518,0.014406288042874277,1225.0,0.0,-0.0015796435471070092,0.006098929889852468,0.02060586370339084,0.0031285022795810706,0.0019524004965196056,0.0068853309010723784,0.1081594038707309,0.023806681447784715,1225.0,0.0,-0.03558471253017026,0.007442772128463064,0.5275798153429058,0.014559328328710474,-0.00806440100409782,0.01717284938192132,0.5731152768441053,0.06937421409745226,1225.0,0.0,1.0,1.0,50.0,0.0,0.28230105025109004,0.013797653120296946,0.22891365803880004,0.010081965017152113,0.0,0.0,0.003795562180247561,0.0008669130641843339,0.4243373937119978,0.024196040572091716,0.08,0.034641016151377546,1225.0,0.0,,,,,,,,,,
