data_structure,asym_model_beta_intercept,asym_model_beta_delta_logK,asym_model_beta_divergence_time,asym_model_r2,asym_model_n,ovule_proxy_beta_intercept,ovule_proxy_beta_delta_logO_proxy,ovule_proxy_beta_divergence_time,ovule_proxy_r2,ovule_proxy_n,post_model_beta_intercept,post_model_beta_divergence_time,post_model_beta_abs_delta_logK,post_model_r2,post_model_n,replicate,alpha,psi,architecture,n_tips,mean_K,median_K,prop_K_gt_1,mean_omega,mean_filter_F,mean_sweeps,n_pairs_used,beta_intercept,beta_maternal_logK,beta_divergence_time,r2,n
dense_reciprocal,-0.007173224776599261,0.05116407711357212,0.006567478844534817,0.11736391851466976,1225.0,-0.005213131050779097,0.02017091294140946,0.003662411736899129,0.08138702555358257,1225.0,-0.05945696087590848,0.5201197882896298,0.03196404572194218,0.43057403921544035,1225.0,0,0.6,0.005,independent,50,0.28460977394052245,0.23585217657291413,0.0,0.0026786108969780262,0.4535405332258812,0.0,1225,,,,,
sparse_reciprocal,-0.014006171671182798,0.052354405775193326,0.02837577830685535,0.11918064689123997,312.0,-0.007602355096940342,0.018383319573098533,0.01917949420370995,0.06537604891988935,312.0,-0.04342630915226423,0.5225781115789278,-0.006809337896171406,0.40259555568387695,312.0,0,0.6,0.005,independent,50,0.28460977394052245,0.23585217657291413,0.0,0.0026786108969780262,0.4535405332258812,0.0,312,,,,,
pi_pairs,-0.006871381069493612,0.04492728562701338,-0.005546980778849187,0.15661301979735265,25.0,-0.027610780432275918,0.026479232192376415,0.014997230996635457,0.20910942749161987,25.0,0.019689741937223976,0.44481983185625956,0.04664462694439325,0.3642307656304832,25.0,0,0.6,0.005,independent,50,0.28460977394052245,0.23585217657291413,0.0,0.0026786108969780262,0.4535405332258812,0.0,25,,,,,
one_direction,,,,,,,,,,,,,,,,0,0.6,0.005,independent,50,0.28460977394052245,0.23585217657291413,0.0,0.0026786108969780262,0.4535405332258812,0.0,1225,0.08745958040030208,0.054148910888552504,0.1265972498333603,0.276488436834321,1225.0
summary_only,-0.007173224776599261,0.05116407711357212,0.006567478844534817,0.11736391851466976,1225.0,-0.005213131050779097,0.02017091294140946,0.003662411736899129,0.08138702555358257,1225.0,-0.05945696087590848,0.5201197882896298,0.03196404572194218,0.43057403921544035,1225.0,0,0.6,0.005,independent,50,0.28460977394052245,0.23585217657291413,0.0,0.0026786108969780262,0.4535405332258812,0.0,1225,,,,,
dense_reciprocal,0.0036459108408957185,0.04337055885230057,-0.010248774535790114,0.13523874803022773,1225.0,0.0016741666474647905,0.01404082010822573,-0.011220949187679179,0.06132597012767349,1225.0,-0.04277980981512935,0.5133556207365588,0.0015067728625761574,0.5684827513509869,1225.0,1,0.6,0.005,independent,50,0.29461642107809793,0.2396193111730699,0.02,0.007354664670588093,0.44215399576419867,0.14,1225,,,,,
sparse_reciprocal,-0.004329499921674427,0.051576681457498386,0.002571998737880666,0.1673152633676842,321.0,-0.00832071414069283,0.01638387938099349,0.003162637174808675,0.0695136942936877,321.0,-0.03720701878206902,0.4709831352914729,0.021264131745194974,0.511120795306439,321.0,1,0.6,0.005,independent,50,0.29461642107809793,0.2396193111730699,0.02,0.007354664670588093,0.44215399576419867,0.14,321,,,,,
pi_pairs,0.02414024690284118,0.06511465629311615,0.022956421869319982,0.2122358137818,25.0,0.03480000166887972,0.025068182313529124,0.014694986688716908,0.1264119233651987,25.0,-0.028396452868919037,0.5344529990856303,-0.0956563514749837,0.6619445250972771,25.0,1,0.6,0.005,independent,50,0.29461642107809793,0.2396193111730699,0.02,0.007354664670588093,0.44215399576419867,0.14,25,,,,,
one_direction,,,,,,,,,,,,,,,,1,0.6,0.005,independent,50,0.29461642107809793,0.2396193111730699,0.02,0.007354664670588093,0.44215399576419867,0.14,1225,0.0701160649182247,0.04030094044212897,0.11855660455197706,0.39968954587839256,1225.0
summary_only,0.0036459108408957185,0.04337055885230057,-0.010248774535790114,0.13523874803022773,1225.0,0.0016741666474647905,0.01404082010822573,-0.011220949187679179,0.06132597012767349,1225.0,-0.04277980981512935,0.5133556207365588,0.0015067728625761574,0.5684827513509869,1225.0,1,0.6,0.005,independent,50,0.29461642107809793,0.2396193111730699,0.02,0.007354664670588093,0.44215399576419867,0.14,1225,,,,,
